family,name,class,cap-diameter,cap-shape,Cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,Spore-print-color,habitat,season
Amanita Family,Fly Agaric,p,[10,,,,,,,,,,,,,,,,,,,
Amanita Family,Panther Cap,p,[5,,,,,,,,,,,,,,,,,,,
Amanita Family,False Panther Cap,p,[10,,,,,,,,,,,,,,,,,,,
Amanita Family,The Blusher,e,[5,,,,,,,,,,,,,,,,,,,
Amanita Family,Death Cap,p,[5,,,,,,,,,,,,,,,,,,,
Amanita Family,False Death Cap,e,[4,,,,,,,,,,,,,,,,,,,
Amanita Family,Destroying Angel,p,[5,,,,,,,,,,,,,,,,,,,
Amanita Family,Tawny Grisette,e,[4,,,,,,,,,,,,,,,,,,,
Lepiota Family,Parasol Mushroom,e,[10,,,,,,,,,,,,,,,,,,,
Lepiota Family,Shaggy Parasol,e,[12,,,,,,,,,,,,,,,,,,,
Lepiota Family,Stinking Parasol,p,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Saffron Parasol,p,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,The Deceiver,e,[1,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Amethyst Deceiver,e,[1,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Wood Blewit,e,[5,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Field Blewit,e,[5,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Clouded Agaric,e,[8,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Club-footed Funnel Cap,p,[4,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Common Funnel Cap,e,[4,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Aniseed Funnel Cap,e,[3,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Ivory Clitocybe,p,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Wood Woolly-foot,p,[3,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Russet Tough Shank,p,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Clustered Tough Shank,p,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Greasy Tough Shank,e,[4,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Spotted Tough Shank,p,[6,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Fairy Ring Champignon,e,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Little Wheel Fungus,p,[0.7,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Horse-hair Fungus,p,[0.5,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Bonnet Bell Cap,e,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Stump Bell Cap,p,[1,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Tufted Bell Cap,p,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Milky Bell Cap,e,[1,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Small Bleeding Bell Cap,e,[0.5,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Lilac Bell Cap,p,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Yellow-stemmed Bell Cap,e,[1,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Orange Bell Cap,p,[0.4,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Orange Moss Agaric,p,[0.4,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Umbrella Navel Cap,p,[1,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Rooting Shank,p,[4,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Porcelain Mushroom,e,[4,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Velvet Shank,e,[2,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Honey Fungus,e,[5,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Bulbous Honey Fungus,e,[5,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Soap-scented Tricholoma,p,[3,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Grey Tricholoma,e,[4,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Scaly Tricholoma,e,[3,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Yellow-brown Tricholoma,e,[5,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Sulphur Tricholoma,p,[3,,,,,,,,,,,,,,,,,,,
Tricholoma Family,St George's Mushroom,e,[5,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Clustered Brown Cap,e,[6,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Changeable Melanoleuca,e,[4,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Plums and custard,p,[4,,,,,,,,,,,,,,,,,,,
Wax Gill Family,Ivory Wax Cap,e,[2,,,,,,,,,,,,,,,,,,,
Wax Gill Family,Yellow Wax cap,p,[3,,,,,,,,,,,,,,,,,,,
Wax Gill Family,Orange-red Wax Cap,p,[1,,,,,,,,,,,,,,,,,,,
Wax Gill Family,Blackening Wax Cap,p,[4,,,,,,,,,,,,,,,,,,,
Wax Gill Family,Meadow Wax Cap,e,[3,,,,,,,,,,,,,,,,,,,
Wax Gill Family,Scarlet Hood,e,[2,,,,,,,,,,,,,,,,,,,
Wax Gill Family,Parrot Wax Cap,p,[2,,,,,,,,,,,,,,,,,,,
Wax Gill Family,Herald of Winter,e,[3,,,,,,,,,,,,,,,,,,,
Russula Family,Common Yellow Russula,e,[4,,,,,,,,,,,,,,,,,,,
Russula Family,Yellow-gilled Russula,e,[2,,,,,,,,,,,,,,,,,,,
Russula Family,Yellow Swamp Russula,e,[4,,,,,,,,,,,,,,,,,,,
Russula Family,Geranium-scented Russula,p,[4,,,,,,,,,,,,,,,,,,,
Russula Family,Stinking Russula,p,[6,,,,,,,,,,,,,,,,,,,
Russula Family,Fragile Russula,p,[2,,,,,,,,,,,,,,,,,,,
Russula Family,Birch Russula,p,[2,,,,,,,,,,,,,,,,,,,
Russula Family,Bare-toothed Russula,e,[5,,,,,,,,,,,,,,,,,,,
Russula Family,The Charcoal Burner,e,[5,,,,,,,,,,,,,,,,,,,
Russula Family,Blackish Purple Russula,e,[4,,,,,,,,,,,,,,,,,,,
Russula Family,Blackening Russula,e,[8,,,,,,,,,,,,,,,,,,,
Russula Family,The Sickener,p,[5,,,,,,,,,,,,,,,,,,,
Russula Family,Beechwood Sickener,p,[3,,,,,,,,,,,,,,,,,,,
Russula Family,Crab-scented Russula,e,[7,,,,,,,,,,,,,,,,,,,
Russula Family,Grass-green Russula,p,[5,,,,,,,,,,,,,,,,,,,
Russula Family,Peppery Milk Cap,e,[8,,,,,,,,,,,,,,,,,,,
Russula Family,Fleecy Milk Cap,p,[10,,,,,,,,,,,,,,,,,,,
Russula Family,Oak Milk Cap,p,[4,,,,,,,,,,,,,,,,,,,
Russula Family,Slimy Milk Cap,p,[5,,,,,,,,,,,,,,,,,,,
Russula Family,Ugly Milk Cap,p,[7,,,,,,,,,,,,,,,,,,,
Russula Family,Rufous Milk Cap,p,[4,,,,,,,,,,,,,,,,,,,
Russula Family,Sweet Milk Cap,p,[3,,,,,,,,,,,,,,,,,,,
Russula Family,Small Brown Milk Cap,p,[2,,,,,,,,,,,,,,,,,,,
Russula Family,Coconut-scented Milk Cap,e,[2,,,,,,,,,,,,,,,,,,,
Russula Family,Woolly Milk Cap,p,[6,,,,,,,,,,,,,,,,,,,
Russula Family,Saffron Milk Cap,e,[5,,,,,,,,,,,,,,,,,,,
Russula Family,Spruce Milk Cap,p,[5,,,,,,,,,,,,,,,,,,,
Pluteus Family,Fawn Pluteus,e,[6,,,,,,,,,,,,,,,,,,,
Pluteus Family,Veined Pluteus,e,[4,,,,,,,,,,,,,,,,,,,
Entoloma Family,Silky Nolanea,p,[2,,,,,,,,,,,,,,,,,,,
Entoloma Family,Striated Nolanea,p,[3,,,,,,,,,,,,,,,,,,,
Entoloma Family,White Leptonia,p,[2,,,,,,,,,,,,,,,,,,,
Entoloma Family,Blue Leptonia,p,[1,,,,,,,,,,,,,,,,,,,
Entoloma Family,Livid Entoloma,p,[6,,,,,,,,,,,,,,,,,,,
Entoloma Family,The Miller,e,[4,,,,,,,,,,,,,,,,,,,
Entoloma Family,Apricot Fungus,p,[5,,,,,,,,,,,,,,,,,,,
Bolbitius Family,Egg Yolk Fungus,p,[1,,,,,,,,,,,,,,,,,,,
Bolbitius Family,Brown Bell Cap,p,[1,,,,,,,,,,,,,,,,,,,
Bolbitius Family,Spring Agaric,e,[3,,,,,,,,,,,,,,,,,,,
Stropharia Family,Shaggy Pholiota,p,[4,,,,,,,,,,,,,,,,,,,
Stropharia Family,Charcoal Pholiota,p,[2,,,,,,,,,,,,,,,,,,,
Stropharia Family,Brown Stew Fungus,e,[3,,,,,,,,,,,,,,,,,,,
Stropharia Family,Sulphur Tuft,p,[2,,,,,,,,,,,,,,,,,,,
Stropharia Family,Brick Caps,p,[4,,,,,,,,,,,,,,,,,,,
Stropharia Family,Verdigris Toadstool,p,[2,,,,,,,,,,,,,,,,,,,
Stropharia Family,Dung Roundhead,p,[1,,,,,,,,,,,,,,,,,,,
Stropharia Family,Magic Mushroom,p,[0.5,,,,,,,,,,,,,,,,,,,
Cortinarius Family,Red-banded Cortinarius,p,[6,,,,,,,,,,,,,,,,,,,
Cortinarius Family,Purple Cortinarius,p,[5,,,,,,,,,,,,,,,,,,,
Cortinarius Family,Blood-red Cortinarius,p,[2,,,,,,,,,,,,,,,,,,,
Cortinarius Family,Red-staining Inocybe,p,[3,,,,,,,,,,,,,,,,,,,
Cortinarius Family,Straw-coloured Inocybe,p,[3,,,,,,,,,,,,,,,,,,,
Cortinarius Family,Common White Inocybe,p,[1,,,,,,,,,,,,,,,,,,,
Cortinarius Family,Poison Pie,p,[4,,,,,,,,,,,,,,,,,,,
Cortinarius Family,Dark-centred Hebeloma,p,[2,,,,,,,,,,,,,,,,,,,
Cortinarius Family,Rusty Wood Rotter,p,[4,,,,,,,,,,,,,,,,,,,
Cortinarius Family,Spectacular Gymnopile,p,[6,,,,,,,,,,,,,,,,,,,
Cortinarius Family,Moss Pixy Cap,p,[1,,,,,,,,,,,,,,,,,,,
Mushroom Family,Field Mushroom,e,[3,,,,,,,,,,,,,,,,,,,
Mushroom Family,Cultivated Mushroom,e,[3,,,,,,,,,,,,,,,,,,,
Mushroom Family,Horse Mushroom,e,[5,,,,,,,,,,,,,,,,,,,
Mushroom Family,Yellow-staining Mushroom,p,[5,,,,,,,,,,,,,,,,,,,
Mushroom Family,Bleeding Brown Mushroom,e,[8,,,,,,,,,,,,,,,,,,,
Ink Cap Family,Shaggy Ink Cap,e,[5,,,,,,,,,,,,,,,,,,,
Ink Cap Family,Common Ink Cap,p,[4,,,,,,,,,,,,,,,,,,,
Ink Cap Family,Magpie Ink Cap,p,[6,,,,,,,,,,,,,,,,,,,
Ink Cap Family,Rusty Carpet Ink Cap,p,[2,,,,,,,,,,,,,,,,,,,
Ink Cap Family,Glistening Ink Cap,e,[2,,,,,,,,,,,,,,,,,,,
Ink Cap Family,Fairies' Bonnets,e,[0.5,,,,,,,,,,,,,,,,,,,
Ink Cap Family,Fairy Parasol,e,[1,,,,,,,,,,,,,,,,,,,
Ink Cap Family,Common Crumble Cap,e,[3,,,,,,,,,,,,,,,,,,,
Ink Cap Family,Two-toned Crumble Cap,e,[2,,,,,,,,,,,,,,,,,,,
Ink Cap Family,Hay Cap,p,[1,,,,,,,,,,,,,,,,,,,
Ink Cap Family,Petticoat Fungus,p,[2,,,,,,,,,,,,,,,,,,,
Ink Cap Family,Egg-shell Toadstool,p,[2,,,,,,,,,,,,,,,,,,,
Ink Cap Family,Weeping Widow,p,[5,,,,,,,,,,,,,,,,,,,
Bolete Family,Cep,e,[8,,,,,,,,,,,,,,,,,,,
Bolete Family,Bay Bolete,e,[7,,,,,,,,,,,,,,,,,,,
Bolete Family,Red-cracked Bolete,e,[5,,,,,,,,,,,,,,,,,,,
Bolete Family,Yellow-cracked Bolete,e,[3,,,,,,,,,,,,,,,,,,,
Bolete Family,Dotted-stemmed Bolete,p,[8,,,,,,,,,,,,,,,,,,,
Bolete Family,Lurid Bolete,p,[8,,,,,,,,,,,,,,,,,,,
Bolete Family,Parasitic Bolete,e,[2,,,,,,,,,,,,,,,,,,,
Bolete Family,Bitter Bolete,p,[5,,,,,,,,,,,,,,,,,,,
Bolete Family,Peppery Bolete,e,[3,,,,,,,,,,,,,,,,,,,
Bolete Family,Orange Birch Bolete,e,[12,,,,,,,,,,,,,,,,,,,
Bolete Family,Brown Birch Bolete,e,[5,,,,,,,,,,,,,,,,,,,
Bolete Family,Larch Bolete,e,[4,,,,,,,,,,,,,,,,,,,
Bolete Family,Slippery Jack,e,[6,,,,,,,,,,,,,,,,,,,
Bolete Family,Shallow-pored Bolete,e,[4,,,,,,,,,,,,,,,,,,,
Paxillus Family,Brown Roll-rim,p,[7,,,,,,,,,,,,,,,,,,,
Paxillus Family,Velvet Roll-rim,p,[8,,,,,,,,,,,,,,,,,,,
Paxillus Family,False Chanterelle,p,[3,,,,,,,,,,,,,,,,,,,
Chanterelle Family,Chanterelle,e,[2,,,,,,,,,,,,,,,,,,,
Chanterelle Family,Tubed Chanterelle,e,[2,,,,,,,,,,,,,,,,,,,
Chanterelle Family,Horn of Plenty,e,[2,,,,,,,,,,,,,,,,,,,
Oyster Mushroom Family,Oyster Mushroom,e,[5,,,,,,,,,,,,,,,,,,,
Oyster Mushroom Family,Branched Oyster Mushroom,e,[5,,,,,,,,,,,,,,,,,,,
Tricholoma Family,Olive-brown Panellus,p,[3,,,,,,,,,,,,,,,,,,,
Crepidotus Family,Soft Slipper Toadstool,p,[2,,,,,,,,,,,,,,,,,,,
Hydnum Family,Hedgehog Fungus,e,[6,,,,,,,,,,,,,,,,,,,
Ear-Pick Family,Ear-pick Fungus,p,[1,,,,,,,,,,,,,,,,,,,
Bracket Fungi,Hairy Stereum,p,[2,,,,,,,,,,,,,,,,,,,
Bracket Fungi,Silver Leaf Fungus,p,[2,,,,,,,,,,,,,,,,,,,
Bracket Fungi,Dryad's Saddle,e,[50],[o],[y],[y],[f],[p],,[y],[3,,,,,,,,,,,
Bracket Fungi,Fuzzy Polypore,p,[8,,,,,,,,,,,,,,,,,,,
Bracket Fungi,Brown Goblet,p,[3,,,,,,,,,,,,,,,,,,,
Saddle-Cup Family,White Saddle,p,[2,,,,,,,,,,,,,,,,,,,
Bracket Fungi,Elfin's Saddle,p,[2,,,,,,,,,,,,,,,,,,,
Bracket Fungi,Turban Fungus,p,[5,,,,,,,,,,,,,,,,,,,
Morel Family,Common Morel,e,[3,,,,,,,,,,,,,,,,,,,
Jelly Discs Family,Jelly Babies,p,[1,,,,,,,,,,,,,,,,,,,
